time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2021-07-24T16:49:48.20Z,47.7784059,-121.4356631,1822.117,0.08,0.03,0.02,58.065,64.049,1.71,0.00000,180.00000,3,4
2021-07-24T16:49:48.40Z,47.7783736,-121.4356990,1830.939,0.10,0.03,0.02,28.793,26.109,0.96,0.00000,177.39286,3,4
2021-07-24T16:49:49.00Z,47.7783794,-121.4357026,1834.123,-0.09,-0.05,0.00,21.322,21.260,0.77,0.00000,92.98976,3,4
2021-07-24T16:49:49.20Z,47.7784251,-121.4356653,1825.551,-0.14,-0.14,0.04,15.655,12.035,0.68,0.00000,92.98982,3,4
2021-07-24T16:49:49.40Z,47.7784159,-121.4356717,1826.126,-0.10,-0.03,0.04,13.368,9.446,0.58,0.00000,92.98988,3,4
2021-07-24T16:49:49.60Z,47.7784139,-121.4356720,1825.808,-0.09,-0.03,0.04,11.926,8.054,0.56,0.00000,92.98994,3,4
2021-07-24T16:49:49.80Z,47.7784148,-121.4356707,1824.944,-0.08,-0.11,-0.05,10.939,7.642,0.68,0.00000,92.99000,3,4
2021-07-24T16:49:50.00Z,47.7784159,-121.4356688,1824.109,-0.07,-0.07,-0.04,10.208,7.328,0.70,0.00000,92.99008,3,4
2021-07-24T16:49:50.20Z,47.7784131,-121.4356705,1823.974,-0.08,0.01,0.03,9.616,7.055,0.43,0.00000,92.99012,3,4
2021-07-24T16:49:50.40Z,47.7784090,-121.4356736,1824.122,-0.05,-0.11,0.03,9.109,6.831,0.53,0.00000,92.99016,3,4
2021-07-24T16:49:50.60Z,47.7784070,-121.4356752,1824.132,-0.08,-0.08,0.02,8.687,6.630,0.60,0.00000,92.99022,3,4
2021-07-24T16:49:50.80Z,47.7784045,-121.4356773,1824.315,-0.05,-0.08,0.02,8.276,6.433,0.53,0.00000,92.99028,3,4
